model_id,split,true_label,predicted_label,count
knn_compact_gist_texture_shape,test,glass,glass,131
knn_compact_gist_texture_shape,test,glass,metal,11
knn_compact_gist_texture_shape,test,glass,paper,14
knn_compact_gist_texture_shape,test,glass,plastic,44
knn_compact_gist_texture_shape,test,glass,shoes,15
knn_compact_gist_texture_shape,test,glass,trash,2
knn_compact_gist_texture_shape,test,metal,battery,4
knn_compact_gist_texture_shape,test,metal,biological,8
knn_compact_gist_texture_shape,test,metal,cardboard,11
knn_compact_gist_texture_shape,test,metal,clothes,11
knn_compact_gist_texture_shape,test,metal,glass,22
knn_compact_gist_texture_shape,test,metal,metal,37
knn_compact_gist_texture_shape,test,metal,paper,11
knn_compact_gist_texture_shape,test,metal,plastic,20
knn_compact_gist_texture_shape,test,metal,shoes,14
knn_compact_gist_texture_shape,test,metal,trash,2
knn_compact_gist_texture_shape,test,paper,battery,1
knn_compact_gist_texture_shape,test,paper,biological,13
knn_compact_gist_texture_shape,test,paper,cardboard,8
knn_compact_gist_texture_shape,test,paper,clothes,25
knn_compact_gist_texture_shape,test,paper,glass,9
knn_compact_gist_texture_shape,test,paper,metal,8
knn_compact_gist_texture_shape,test,paper,paper,108
knn_compact_gist_texture_shape,test,paper,plastic,16
knn_compact_gist_texture_shape,test,paper,shoes,6
knn_compact_gist_texture_shape,test,paper,trash,6
knn_compact_gist_texture_shape,test,plastic,battery,3
knn_compact_gist_texture_shape,test,plastic,biological,4
knn_compact_gist_texture_shape,test,plastic,cardboard,16
knn_compact_gist_texture_shape,test,plastic,clothes,44
knn_compact_gist_texture_shape,test,plastic,glass,25
knn_compact_gist_texture_shape,test,plastic,metal,8
knn_compact_gist_texture_shape,test,plastic,paper,14
knn_compact_gist_texture_shape,test,plastic,plastic,117
knn_compact_gist_texture_shape,test,plastic,shoes,5
knn_compact_gist_texture_shape,test,plastic,trash,4
knn_compact_gist_texture_shape,test,shoes,battery,1
knn_compact_gist_texture_shape,test,shoes,biological,16
knn_compact_gist_texture_shape,test,shoes,cardboard,6
knn_compact_gist_texture_shape,test,shoes,clothes,29
knn_compact_gist_texture_shape,test,shoes,glass,10
knn_compact_gist_texture_shape,test,shoes,metal,3
knn_compact_gist_texture_shape,test,shoes,paper,8
knn_compact_gist_texture_shape,test,shoes,plastic,18
knn_compact_gist_texture_shape,test,shoes,shoes,123
knn_compact_gist_texture_shape,test,shoes,trash,3
knn_compact_gist_texture_shape,test,trash,battery,0
knn_compact_gist_texture_shape,test,trash,biological,1
knn_compact_gist_texture_shape,test,trash,cardboard,5
knn_compact_gist_texture_shape,test,trash,clothes,6
knn_compact_gist_texture_shape,test,trash,glass,5
knn_compact_gist_texture_shape,test,trash,metal,2
knn_compact_gist_texture_shape,test,trash,paper,4
knn_compact_gist_texture_shape,test,trash,plastic,9
knn_compact_gist_texture_shape,test,trash,shoes,1
knn_compact_gist_texture_shape,test,trash,trash,35
lgbm_small_hct_sqrt,test,battery,battery,91
lgbm_small_hct_sqrt,test,battery,biological,1
lgbm_small_hct_sqrt,test,battery,cardboard,2
lgbm_small_hct_sqrt,test,battery,clothes,1
lgbm_small_hct_sqrt,test,battery,glass,4
lgbm_small_hct_sqrt,test,battery,metal,4
lgbm_small_hct_sqrt,test,battery,paper,2
lgbm_small_hct_sqrt,test,battery,plastic,3
lgbm_small_hct_sqrt,test,battery,shoes,5
lgbm_small_hct_sqrt,test,battery,trash,0
lgbm_small_hct_sqrt,test,biological,battery,0
lgbm_small_hct_sqrt,test,biological,biological,84
lgbm_small_hct_sqrt,test,biological,cardboard,0
lgbm_small_hct_sqrt,test,biological,clothes,2
lgbm_small_hct_sqrt,test,biological,glass,2
lgbm_small_hct_sqrt,test,biological,metal,4
lgbm_small_hct_sqrt,test,biological,paper,6
lgbm_small_hct_sqrt,test,biological,plastic,3
lgbm_small_hct_sqrt,test,biological,shoes,2
lgbm_small_hct_sqrt,test,biological,trash,2
lgbm_small_hct_sqrt,test,cardboard,battery,0
lgbm_small_hct_sqrt,test,cardboard,biological,3
lgbm_small_hct_sqrt,test,cardboard,cardboard,175
lgbm_small_hct_sqrt,test,cardboard,clothes,2
lgbm_small_hct_sqrt,test,cardboard,glass,2
lgbm_small_hct_sqrt,test,cardboard,metal,1
lgbm_small_hct_sqrt,test,cardboard,paper,5
lgbm_small_hct_sqrt,test,cardboard,plastic,18
lgbm_small_hct_sqrt,test,cardboard,shoes,6
lgbm_small_hct_sqrt,test,cardboard,trash,0
lgbm_small_hct_sqrt,test,clothes,battery,1
lgbm_small_hct_sqrt,test,clothes,biological,2
lgbm_small_hct_sqrt,test,clothes,cardboard,1
lgbm_small_hct_sqrt,test,clothes,clothes,265
lgbm_small_hct_sqrt,test,clothes,glass,1
lgbm_small_hct_sqrt,test,clothes,metal,1
lgbm_small_hct_sqrt,test,clothes,paper,0
lgbm_small_hct_sqrt,test,clothes,plastic,4
lgbm_small_hct_sqrt,test,clothes,shoes,9
lgbm_small_hct_sqrt,test,clothes,trash,0
lgbm_small_hct_sqrt,test,glass,battery,1
lgbm_small_hct_sqrt,test,glass,biological,3
lgbm_small_hct_sqrt,test,glass,cardboard,7
lgbm_small_hct_sqrt,test,glass,clothes,1
lgbm_small_hct_sqrt,test,glass,glass,211
lgbm_small_hct_sqrt,test,glass,metal,5
lgbm_small_hct_sqrt,test,glass,paper,9
lgbm_small_hct_sqrt,test,glass,plastic,15
lgbm_small_hct_sqrt,test,glass,shoes,7
lgbm_small_hct_sqrt,test,glass,trash,1
lgbm_small_hct_sqrt,test,metal,battery,4
lgbm_small_hct_sqrt,test,metal,biological,1
lgbm_small_hct_sqrt,test,metal,cardboard,7
lgbm_small_hct_sqrt,test,metal,clothes,4
lgbm_small_hct_sqrt,test,metal,glass,8
lgbm_small_hct_sqrt,test,metal,metal,100
lgbm_small_hct_sqrt,test,metal,paper,5
lgbm_small_hct_sqrt,test,metal,plastic,3
lgbm_small_hct_sqrt,test,metal,shoes,8
lgbm_small_hct_sqrt,test,metal,trash,0
lgbm_small_hct_sqrt,test,paper,battery,1
lgbm_small_hct_sqrt,test,paper,biological,2
lgbm_small_hct_sqrt,test,paper,cardboard,7
lgbm_small_hct_sqrt,test,paper,clothes,9
lgbm_small_hct_sqrt,test,paper,glass,6
lgbm_small_hct_sqrt,test,paper,metal,2
lgbm_small_hct_sqrt,test,paper,paper,152
lgbm_small_hct_sqrt,test,paper,plastic,7
lgbm_small_hct_sqrt,test,paper,shoes,13
lgbm_small_hct_sqrt,test,paper,trash,1
lgbm_small_hct_sqrt,test,plastic,battery,5
lgbm_small_hct_sqrt,test,plastic,biological,2
lgbm_small_hct_sqrt,test,plastic,cardboard,5
lgbm_small_hct_sqrt,test,plastic,clothes,9
lgbm_small_hct_sqrt,test,plastic,glass,22
lgbm_small_hct_sqrt,test,plastic,metal,11
lgbm_small_hct_sqrt,test,plastic,paper,9
lgbm_small_hct_sqrt,test,plastic,plastic,175
lgbm_small_hct_sqrt,test,plastic,shoes,0
lgbm_small_hct_sqrt,test,plastic,trash,2
lgbm_small_hct_sqrt,test,shoes,battery,5
lgbm_small_hct_sqrt,test,shoes,biological,5
lgbm_small_hct_sqrt,test,shoes,cardboard,2
lgbm_small_hct_sqrt,test,shoes,clothes,10
lgbm_small_hct_sqrt,test,shoes,glass,2
lgbm_small_hct_sqrt,test,shoes,metal,3
lgbm_small_hct_sqrt,test,shoes,paper,10
lgbm_small_hct_sqrt,test,shoes,plastic,6
lgbm_small_hct_sqrt,test,shoes,shoes,174
lgbm_small_hct_sqrt,test,shoes,trash,0
lgbm_small_hct_sqrt,test,trash,battery,1
lgbm_small_hct_sqrt,test,trash,biological,0
lgbm_small_hct_sqrt,test,trash,cardboard,2
lgbm_small_hct_sqrt,test,trash,clothes,2
lgbm_small_hct_sqrt,test,trash,glass,5
lgbm_small_hct_sqrt,test,trash,metal,4
lgbm_small_hct_sqrt,test,trash,paper,2
lgbm_small_hct_sqrt,test,trash,plastic,9
lgbm_small_hct_sqrt,test,trash,shoes,1
lgbm_small_hct_sqrt,test,trash,trash,42
lgbm_anchor_c11_sqrt,test,battery,battery,91
lgbm_anchor_c11_sqrt,test,battery,biological,0
lgbm_anchor_c11_sqrt,test,battery,cardboard,3
lgbm_anchor_c11_sqrt,test,battery,clothes,0
lgbm_anchor_c11_sqrt,test,battery,glass,6
lgbm_anchor_c11_sqrt,test,battery,metal,9
lgbm_anchor_c11_sqrt,test,battery,paper,0
lgbm_anchor_c11_sqrt,test,battery,plastic,1
lgbm_anchor_c11_sqrt,test,battery,shoes,2
lgbm_anchor_c11_sqrt,test,battery,trash,1
lgbm_anchor_c11_sqrt,test,biological,battery,1
lgbm_anchor_c11_sqrt,test,biological,biological,83
lgbm_anchor_c11_sqrt,test,biological,cardboard,0
lgbm_anchor_c11_sqrt,test,biological,clothes,3
lgbm_anchor_c11_sqrt,test,biological,glass,3
lgbm_anchor_c11_sqrt,test,biological,metal,2
lgbm_anchor_c11_sqrt,test,biological,paper,5
lgbm_anchor_c11_sqrt,test,biological,plastic,6
lgbm_anchor_c11_sqrt,test,biological,shoes,0
lgbm_anchor_c11_sqrt,test,biological,trash,2
lgbm_anchor_c11_sqrt,test,cardboard,battery,0
lgbm_anchor_c11_sqrt,test,cardboard,biological,4
lgbm_anchor_c11_sqrt,test,cardboard,cardboard,177
lgbm_anchor_c11_sqrt,test,cardboard,clothes,3
lgbm_anchor_c11_sqrt,test,cardboard,glass,2
lgbm_anchor_c11_sqrt,test,cardboard,metal,3
lgbm_anchor_c11_sqrt,test,cardboard,paper,7
lgbm_anchor_c11_sqrt,test,cardboard,plastic,10
lgbm_anchor_c11_sqrt,test,cardboard,shoes,6
lgbm_anchor_c11_sqrt,test,cardboard,trash,0
lgbm_anchor_c11_sqrt,test,clothes,battery,1
lgbm_anchor_c11_sqrt,test,clothes,biological,2
lgbm_anchor_c11_sqrt,test,clothes,cardboard,3
lgbm_anchor_c11_sqrt,test,clothes,clothes,261
lgbm_anchor_c11_sqrt,test,clothes,glass,1
lgbm_anchor_c11_sqrt,test,clothes,metal,1
lgbm_anchor_c11_sqrt,test,clothes,paper,5
lgbm_anchor_c11_sqrt,test,clothes,plastic,3
lgbm_anchor_c11_sqrt,test,clothes,shoes,7
lgbm_anchor_c11_sqrt,test,clothes,trash,0
lgbm_anchor_c11_sqrt,test,glass,battery,1
lgbm_anchor_c11_sqrt,test,glass,biological,4
lgbm_anchor_c11_sqrt,test,glass,cardboard,5
lgbm_anchor_c11_sqrt,test,glass,clothes,2
lgbm_anchor_c11_sqrt,test,glass,glass,216
lgbm_anchor_c11_sqrt,test,glass,metal,4
lgbm_anchor_c11_sqrt,test,glass,paper,4
lgbm_anchor_c11_sqrt,test,glass,plastic,17
lgbm_anchor_c11_sqrt,test,glass,shoes,7
lgbm_anchor_c11_sqrt,test,glass,trash,0
lgbm_anchor_c11_sqrt,test,metal,battery,6
lgbm_anchor_c11_sqrt,test,metal,biological,1
lgbm_anchor_c11_sqrt,test,metal,cardboard,7
lgbm_anchor_c11_sqrt,test,metal,clothes,5
lgbm_anchor_c11_sqrt,test,metal,glass,8
lgbm_anchor_c11_sqrt,test,metal,metal,100
lgbm_anchor_c11_sqrt,test,metal,paper,3
lgbm_anchor_c11_sqrt,test,metal,plastic,6
lgbm_anchor_c11_sqrt,test,metal,shoes,4
lgbm_anchor_c11_sqrt,test,metal,trash,0
lgbm_anchor_c11_sqrt,test,paper,battery,0
lgbm_anchor_c11_sqrt,test,paper,biological,3
lgbm_anchor_c11_sqrt,test,paper,cardboard,7
lgbm_anchor_c11_sqrt,test,paper,clothes,7
lgbm_anchor_c11_sqrt,test,paper,glass,7
