candidate_id,source_short,model_label,split,true_label,predicted_label,count
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,cardboard,paper,8
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,cardboard,plastic,13
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,cardboard,shoes,4
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,cardboard,trash,1
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,clothes,cardboard,1
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,clothes,clothes,259
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,clothes,glass,3
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,clothes,metal,1
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,clothes,paper,6
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,clothes,plastic,3
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,clothes,shoes,11
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,glass,biological,1
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,glass,cardboard,1
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,glass,clothes,1
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,glass,glass,195
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,glass,metal,11
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,glass,paper,8
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,glass,plastic,27
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,glass,shoes,14
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,glass,trash,2
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,metal,battery,4
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,metal,biological,2
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,metal,cardboard,5
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,metal,clothes,6
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,metal,glass,13
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,metal,metal,90
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,metal,paper,5
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,metal,plastic,7
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,metal,shoes,8
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,paper,biological,3
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,paper,cardboard,10
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,paper,clothes,7
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,paper,glass,5
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,paper,metal,11
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,paper,paper,148
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,paper,plastic,8
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,paper,shoes,6
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,paper,trash,2
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,plastic,battery,2
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,plastic,biological,1
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,plastic,cardboard,11
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,plastic,clothes,12
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,plastic,glass,26
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,plastic,metal,6
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,plastic,paper,12
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,plastic,plastic,161
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,plastic,shoes,7
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,plastic,trash,2
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,shoes,battery,6
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,shoes,biological,5
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,shoes,cardboard,6
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,shoes,clothes,17
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,shoes,glass,9
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,shoes,metal,6
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,shoes,paper,3
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,shoes,plastic,6
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,shoes,shoes,157
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,shoes,trash,2
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,trash,biological,2
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,trash,clothes,1
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,trash,glass,3
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,trash,metal,2
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,trash,paper,3
